IncidentNumber,CaseNumber,DateOccurred - Dt,DateOccurred - Txt,IncidentType,IncidentCode,AssociatedOfficerNumber,BadgeNum ber,OfficerTitle,OfficerRace,OfficerGender,OfficerOnDuty,FullAddress,CitizenNumber,CitizenRace,CitizenGenger,CitizenFatality,City,Precinct,CitizenGender,UseOfForceType
11619,14-061-0234,3/2/2014,2014-03-02,Use Of Force,UOF,1351,,Cell Blockattendant,Hispanic,Female,,,5745,Black,Male,No,Buﬀalo,B,Male,
23892,20-066-0590,3/6/2020,2020-03-06,External,GEN,575,P3856,Policeoﬃcer,Hispanic,Male,Unk,,10083,White,Female,No,Buﬀalo,E,Female,
23892,20-066-0590,3/6/2020,2020-03-06,External,GEN,575,P3856,Policeoﬃcer,Hispanic,Male,Unk,,10154,,Male,No,Buﬀalo,E,Male,
11664,14-065-0385,3/6/2014,2014-03-06,Use Offorce,UOF,112,C131,Lieutenant,White,Male,,,5760,Black,Female,No,Buffalo,,Female,Physical Engagement
11665,14-065-0385,3/6/2014,2014-03-06,Use Offorce,UOF,112,C131,Lieutenant,White,Male,,,5761,Black,Female,No,Buﬀalo,C,Female,
11665,14-065-0385,3/6/2014,2014-03-06,Use Offorce,UOF,145,,Chief,White,Male,,,5761,Black,Female,No,Buﬀalo,C,Female,
11665,14-065-0385,3/6/2014,2014-03-06,Use Offorce,UOF,145,,Chief,White,Male,,,5762,White,Female,No,Buﬀalo,C,Female,
11665,14-065-0385,3/6/2014,2014-03-06,Use Offorce,UOF,112,C131,Lieutenant,White,Male,,,5762,White,Female,No,Buﬀalo,C,Female,
11665,14-065-0385,3/6/2014,2014-03-06,Use Offorce,UOF,112,C131,Lieutenant,White,Male,,,5763,White,Female,No,Buﬀalo,C,Female,
11665,14-065-0385,3/6/2014,2014-03-06,Use Offorce,UOF,145,,Chief,White,Male,,,5763,White,Female,No,Buﬀalo,C,Female,
11665,14-065-0385,3/6/2014,2014-03-06,Use Offorce,UOF,145,,Chief,White,Male,,,5764,White,Male,No,Buﬀalo,C,Male,
11665,14-065-0385,3/6/2014,2014-03-06,Use Offorce,UOF,112,C131,Lieutenant,White,Male,,,5764,White,Male,No,Buﬀalo,C,Male,
11668,14-065-0089,3/6/2014,2014-03-06,Use Of Force,UOF,1272,P2939,Policeoﬃcer,White,Male,,,5765,Black,Male,No,Lackawanna,,Male,
11668,14-065-0089,3/6/2014,2014-03-06,Use Offorce,UOF,1370,2118,Oﬃcer,Black,Male,,,5765,Black,Male,No,Lackawanna,,Male,
11669,140660056,3/7/2014,2014-03-07,Use Offorce,UOF,1389,2710,Officer,White,Male,,,5766,Black,Female,No,Buffalo,B,Female,Physical Engagement
11669,140660056,3/7/2014,2014-03-07,Use Offorce,UOF,1389,2710,Officer,White,Male,,,5766,Black,Female,No,Buffalo,B,Female,Verbal Commands
11669,140660056,3/7/2014,2014-03-07,Use Offorce,UOF,1399,D651,Officer,White,Female,,,5766,Black,Female,No,Buffalo,B,Female,Verbal Commands
11669,140660056,3/7/2014,2014-03-07,Use Offorce,UOF,1399,D651,Officer,White,Female,,,5766,Black,Female,No,Buffalo,B,Female,Physical Engagement
11670,140600880,3/1/2014,2014-03-01,Use Offorce,UOF,1398,D691,Officer,White,Male,,,2948,Hispanic,Male,No,Buffalo,B,Male,Physical Engagement
11670,140600880,3/1/2014,2014-03-01,Use Of Force,UOF,1214,DS3926,Policeofficer,White,Male,,,2948,Hispanic,Male,No,Buffalo,B,Male,Physical
11675,140670051,3/8/2014,2014-03-08,Use Of Force,UOF,1039,L441,Policeofficer,White,Male,,,5772,Black,Male,No,Buffalo,C,Male,Physical
11675,140670051,3/8/2014,2014-03-08,Use Offorce,UOF,1371,C153,Officer,White,Male,,,5772,Black,Male,No,Buffalo,C,Male,Physical Engagement
11675,140670051,3/8/2014,2014-03-08,Use Offorce,UOF,1371,C153,Oﬃcer,White,Male,,,5772,Black,Male,No,Buﬀalo,C,Male,ASP
11677,140680159,3/9/2014,2014-03-09,Use Of Force,UOF,448,P3462,Policeofficer,White,Male,,,5774,White,Male,No,Buffalo,,Male,Verbal
11677,140680159,3/9/2014,2014-03-09,Use Of Force,UOF,448,P3462,Policeofficer,White,Male,,,5774,White,Male,No,Buffalo,,Male,Physical
11677,140680159,3/9/2014,2014-03-09,Use Of Force,UOF,449,P3468,Policeofficer,White,Female,,,5774,White,Male,No,Buffalo,,Male,Verbal
11687,140690398,3/10/2014,2014-03-10,Use Of Force,UOF,1166,L509,Policeofficer,Black,Male,,,5776,Unknown,Male,No,Buffalo,,Male,Physical
11671,13-3210420,11/17/2013,2013-11-17,External,GEN,1413,,Cell Block,Black,Male,Yes,,5767,Black,Male,No,Buﬀalo,E,Male,
11671,13-3210420,11/17/2013,2013-11-17,External,GEN,1413,,Cell Block,Black,Male,Yes,,5768,Black,Female,No,Buﬀalo,E,Female,
11671,13-3210420,11/17/2013,2013-11-17,External,GEN,1413,,Cell Block,Black,Male,Yes,,5769,Black,Male,No,Buﬀalo,E,Male,
11671,13-3210420,11/17/2013,2013-11-17,External,GEN,1413,,Cell Block,Black,Male,Yes,,5770,Black,Male,No,Buﬀalo,E,Male,
11720,140720823,3/13/2014,2014-03-13,Use Offorce,UOF,1315,D676,Officer,White,Male,,,5790,White,Male,No,Buffalo,D,Male,Pain Compliance Hold
11720,140720823,3/13/2014,2014-03-13,Use Offorce,UOF,1315,D676,Officer,White,Male,,,5790,White,Male,No,Buffalo,D,Male,Physical Engagement
11720,140720823,3/13/2014,2014-03-13,Use Offorce,UOF,1315,D676,Officer,White,Male,,,5790,White,Male,No,Buffalo,D,Male,Verbal Commands
11720,140720823,3/13/2014,2014-03-13,Use Offorce,UOF,1378,D673,Officer,White,Male,,,5790,White,Male,No,Buffalo,D,Male,Impact Weapon
11720,140720823,3/13/2014,2014-03-13,Use Offorce,UOF,1378,D673,Officer,White,Male,,,5790,White,Male,No,Buffalo,D,Male,Physical Engagement
11720,140720823,3/13/2014,2014-03-13,Use Offorce,UOF,1378,D673,Officer,White,Male,,,5790,White,Male,No,Buffalo,D,Male,Verbal Commands
11720,140720823,3/13/2014,2014-03-13,Use Offorce,UOF,1373,,Oﬃcer,White,Male,,,5790,White,Male,No,Buﬀalo,D,Male,
11720,140720823,3/13/2014,2014-03-13,Use Of Force,UOF,1165,P2434,Policeoﬃcer,White,Female,,,5790,White,Male,No,Buﬀalo,D,Male,
11721,14-072-0823,3/13/2014,2014-03-13,Use Offorce,UOF,1378,D673,Oﬃcer,White,Male,,,5790,White,Male,No,Buﬀalo,D,Male,ASP
11721,14-072-0823,3/13/2014,2014-03-13,Use Offorce,UOF,1315,D676,Oﬃcer,White,Male,,,5790,White,Male,No,Buﬀalo,D,Male,
11721,14-072-0823,3/13/2014,2014-03-13,Use Offorce,UOF,1373,,Oﬃcer,White,Male,,,5790,White,Male,No,Buﬀalo,D,Male,
11723,140750926,3/16/2014,2014-03-16,Use Of Force,UOF,1099,P2913,Policeofficer,White,Male,,,3787,Unknown,Male,No,Buffalo,B,Male,Physical
11723,140750926,3/16/2014,2014-03-16,Use Of Force,UOF,1041,P3185,Policeoﬃcer,Black,Male,,,3787,Unknown,Male,No,Buﬀalo,B,Male,
11723,140750926,3/16/2014,2014-03-16,Use Of Force,UOF,1051,L489,Policeoﬃcer,Black,Male,,,3787,Unknown,Male,No,Buﬀalo,B,Male,
11775,14-0170506,1/17/2014,2014-01-17,External,GEN,1120,P2172,Policeoﬃcer,White,Male,No,,5796,,Male,No,Buﬀalo,D,Male,
11780,14-0810113,3/22/2014,2014-03-22,Use Of Force,UOF,1524,,Cellblock,White,Male,,,5801,Black,Male,No,Buffalo,B,Male,Verbal
11780,14-0810113,3/22/2014,2014-03-22,Use Of Force,UOF,1524,,Cellblock,White,Male,,,5801,Black,Male,No,Buﬀalo,B,Male,Cap Spray
11792,140866554,3/27/2014,2014-03-27,Use Of Force,UOF,284,L472,Policeofficer,Black,Female,,,5807,,Male,No,Buffalo,E,Male,Physical
11793,140860654,3/27/2014,2014-03-27,Use Of Force,UOF,1166,L509,Policeofficer,Black,Male,,,5678,Black,Male,No,Buffalo,E,Male,Verbal
11793,140860654,3/27/2014,2014-03-27,Use Of Force,UOF,1166,L509,Policeofficer,Black,Male,,,5678,Black,Male,No,Buffalo,E,Male,Physical
11793,140860654,3/27/2014,2014-03-27,Use Of Force,UOF,284,L472,Policeoﬃcer,Black,Female,,,5678,Black,Male,No,Buﬀalo,E,Male,
11794,140890163,3/30/2014,2014-03-30,Use Offorce,UOF,1394,C148,Officer,White,Male,,,5809,White,Male,No,Buffalo,,Male,Verbal Commands
11794,140890163,3/30/2014,2014-03-30,Use Offorce,UOF,1394,C148,Officer,White,Male,,,5809,White,Male,No,Buffalo,,Male,Physical Engagement
11794,140890163,3/30/2014,2014-03-30,Use Offorce,UOF,1394,C148,Officer,White,Male,,,5809,White,Male,No,Buffalo,,Male,Pain Compliance Hold
11794,140890163,3/30/2014,2014-03-30,Use Of Force,UOF,49,P2191,Policeoﬃcer,White,Male,,,5809,White,Male,No,Buﬀalo,,Male,
